TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText1.started,space_to_continue.started,welcomeText2.started,space_to_continue_2.started,Win.started,Keys.started,Mouse.started,Keys.keys,Keys.rt,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Win_2.stopped,WinMsg.stopped,Win_3.stopped,WinMsg_2.stopped,exitText.started,exitText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.2,-0.5,0.0,bottom,left,1.23,0,0,26,26,104,,,,,,,,,,,,,,,,,196.61000870901626,196.61000870901626,0.0044828329992014915,right,0.5200070419814438,0.3287037037037037,-0.2025462962962963,0,0,0,197.1627274590137,197.1627274590137,199.17661054199561,199.17661054199561,204.3356262500165,205.58254133400624,201.16822791699087,201.16822791699087,201.16822791699087,204.00684375001583,204.00684375001583,8.458333333333334,2.816157709021354,space,0.3069991249940358,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-1.1,1.1,top,right,1.77,0,0,27,27,43,,,,,,,,,,,,,,,,,205.58254133400624,205.58254133400624,0.011860583996167406,right,1.3615262909734156,0.3287037037037037,-0.2025462962962963,0,0,0,206.969059791998,206.969059791998,208.9852787500131,208.9852787500131,210.97329220900428,212.74307629201212,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.3,0.45,bottom,left,1.4,0,0,28,28,35,,,,,,,,,,,,,,,,,212.74307629201212,212.74307629201212,0.006428583990782499,right,1.061075500008883,0.3287037037037037,-0.2025462962962963,0,0,0,213.83303766700556,213.83303766700556,215.83982995900442,215.83982995900442,217.8402154170035,219.24959783401573,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.3,0.6,top,left,1.06,0,0,29,29,36,,,,,,,,,,,,,,,,,219.24959783401573,219.24959783401573,0.004323667002609,left,1.7271545410039835,0.3287037037037037,-0.2025462962962963,0,0,0,220.9990367089922,220.9990367089922,223.0067442500149,223.0067442500149,228.51530774999992,229.59792404199834,224.99947841701214,224.99947841701214,224.99947841701214,228.17021441701218,228.17021441701218,8.458333333333334,3.1568403329874855,space,0.32093374998657964,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.2,0.0,0.36,top,right,1.29,0,0,30,30,51,,,,,,,,,,,,,,,,,229.59792404199834,229.59792404199834,0.01117233297554776,right,1.0226831670152023,0.3287037037037037,-0.2025462962962963,0,0,0,230.65298887499375,230.65298887499375,232.6593407500186,232.6593407500186,234.65679783400265,235.95955762499943,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.3,0.36,top,left,1.24,0,0,31,31,34,,,,,,,,,,,,,,,,,235.95955762499943,235.95955762499943,0.005237249977653846,right,0.4565620420034975,0.3287037037037037,-0.2025462962962963,0,0,0,236.4441516250081,236.4441516250081,238.45774775001337,238.45774775001337,240.45679550000932,241.71202070900472,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.2,0.0,0.4,bottom,right,1.28,0,0,32,32,52,,,,,,,,,,,,,,,,,241.71202070900472,241.71202070900472,0.009139834000961855,left,0.5727576249919366,0.3287037037037037,-0.2025462962962963,0,0,0,242.3149106670171,242.3149106670171,244.32682400001795,244.32682400001795,247.68194425001275,248.9844369170023,246.3233369590016,246.3233369590016,246.3233369590016,247.40412570899935,247.40412570899935,8.458333333333334,1.0735529579978902,space,0.2559363750042394,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.3,-0.95,0.0,bottom,right,1.02,0,0,33,33,116,,,,,,,,,,,,,,,,,248.9844369170023,248.9844369170023,0.012208790984004736,right,0.6486058329755906,0.3287037037037037,-0.2025462962962963,0,0,0,249.65986908401828,249.65986908401828,251.67644516701694,251.67644516701694,253.66494149999926,254.7034838340187,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.2,0.0,0.72,bottom,right,1.71,0,0,34,34,57,,,,,,,,,,,,,,,,,254.7034838340187,254.7034838340187,0.008938750019297004,left,1.8985738749906886,0.3287037037037037,-0.2025462962962963,0,0,0,256.6331955420028,256.6331955420028,258.63264091699966,258.63264091699966,260.62042812499567,262.3445705840131,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.3,0.0,1.08,top,right,1.03,1,0,35,35,67,,,,,,,,,,,,,,,,,262.3445705840131,262.3445705840131,0.010246291989460588,right,0.6651702079980168,0.3287037037037037,-0.2025462962962963,0,0,0,263.0325382500014,263.0325382500014,265.0311957090162,265.0311957090162,268.52648141700774,269.5604881250183,267.02637312500156,267.02637312500156,267.02637312500156,268.22328491701046,268.22328491701046,8.458333333333334,1.1747562079981435,space,0.2898069999937434,265.0311957090162,265.0311957090162,267.02637312500156,267.02637312500156,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
