TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText.started,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Keys.keys,Keys.rt,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,timeoutText.started,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.3,-0.67,0.0,top,left,1.27,0,0,10,10,113,,,,,,,,,,,,,,111.08125909999944,0.025952700001653284,111.08125909999944,-0.18287037037037038,-0.18055555555555555,0,0,0,right,0.6548406000038085,111.8131942,111.8131942,113.83279659999971,113.83279659999971,115.78210899999976,117.10043600000063,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
gain,0.2,0.0,0.72,bottom,right,1.71,0,0,11,11,57,,,,,,,,,,,,,,117.10043600000063,0.023556899999675807,117.10043600000063,-0.18287037037037038,-0.18055555555555555,0,0,0,left,1.4042839000030654,118.60082259999763,118.60082259999763,120.61820549999902,120.61820549999902,124.73728819999815,126.48670539999875,122.66404300000067,122.66404300000067,122.66404300000067,124.33626509999885,124.33626509999885,3.854166666666667,1.5855020999988483,space,0.3446111000048404,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
mix,0.0,-1.1,0.73,top,left,1.36,0,0,12,12,25,,,,,,,,,,,,,,126.48670539999875,0.021036199999798555,126.48670539999875,-0.18287037037037038,-0.18055555555555555,0,0,0,right,0.7538619000006292,127.30453249999846,127.30453249999846,129.32252589999916,129.32252589999916,131.28877450000073,132.68514759999744,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
gain,0.5,0.0,2.1,top,left,1.69,0,0,13,13,88,,,,,,,,,,,,,,132.68514759999744,0.018437800001265714,132.68514759999744,-0.18287037037037038,-0.18055555555555555,0,0,0,right,0.7233045000029961,133.487386599998,133.487386599998,135.53896650000024,135.53896650000024,137.4725772999991,139.20901949999825,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
gain,0.6,0.0,1.33,top,right,1.84,0,0,14,14,93,,,,,,,,,,,,,,139.20901949999825,0.02399380000133533,139.20901949999825,-0.18287037037037038,-0.18055555555555555,0,0,0,left,0.7925998000027903,140.07779949999895,140.07779949999895,142.09352469999794,142.09352469999794,145.9439797999985,147.8283143999979,144.10921809999854,144.10921809999854,144.10921809999854,145.64464429999862,145.64464429999862,3.854166666666667,1.4633346000009624,space,0.26003530000161845,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
mix,0.0,-0.5,0.2,top,left,1.39,0,0,15,15,9,,,,,,,,,,,,,,147.8283143999979,0.02015640000172425,147.8283143999979,-0.18287037037037038,-0.18055555555555555,0,0,0,right,0.6437394000022323,148.54521039999963,148.54521039999963,150.56254029999764,150.56254029999764,152.52982739999788,153.96753180000087,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
gain,0.6,0.0,1.2,top,right,1.86,0,0,16,16,92,,,,,,,,,,,,,,153.96753180000087,0.017286199999944074,153.96753180000087,-0.18287037037037038,-0.18055555555555555,0,0,0,left,1.873709499999677,155.9313985000008,155.9313985000008,157.93300069999896,157.93300069999896,159.89906359999804,161.80055119999815,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
loss,-0.4,-0.67,0.0,bottom,left,1.12,1,0,17,17,120,,,,,,,,,,,,,,161.80055119999815,0.025516999998217216,161.80055119999815,-0.18287037037037038,-0.18055555555555555,0,0,0,right,0.5523133000024245,162.4498504999974,162.4498504999974,164.51985910000076,164.51985910000076,168.21930509999947,169.38332049999735,166.4804793000003,166.4804793000003,166.4804793000003,167.9508335999999,167.9508335999999,3.854166666666667,1.429755799999839,space,0.2340098000022408,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
loss,-0.4,-1.44,0.0,bottom,right,1.97,0,0,18,18,127,,,,,,,,,,,,,,169.38332049999735,0.017607300000236137,169.38332049999735,-0.18287037037037038,-0.18055555555555555,0,0,0,left,0.7369754000028479,170.1724628999982,170.1724628999982,172.18661129999964,172.18661129999964,174.15207229999942,176.15683200000058,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
mix,0.0,-1.1,2.2,bottom,left,1.76,1,0,19,19,46,,,,,,,,,,,,,,176.15683200000058,0.024769799998466624,176.15683200000058,-0.17824074074074073,-0.17824074074074073,0,0,0,left,0.5873954000016965,176.83649439999863,176.83649439999863,178.8423460999984,178.8423460999984,180.79060290000052,182.60662410000077,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
