Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
103	86	gain	2652.766516200267	2652.7742592003196	2654.9654873004183	2656.98176550027	2.1912281000986695	0.5	0	1.4	top	left	left	gamble	bad	0.0	11.79	
104	88	gain	2662.25289970031	2662.2536262003705	2664.2771722003818	2666.293931600172	2.0235460000112653	0.5	0	1.8	bottom	right	right	gamble	good	1.8	13.59	
105	80	gain	2671.6301908004098	2671.6351097002625	2674.0052869003266	2676.02161470009	2.370177200064063	0.4	0	2	top	left	left	gamble	bad	0.0	13.59	
106	76	gain	2687.282448900398	2687.2880937000737	2691.5622999002226	2691.5700850002468	4.27420620014891	0.4	0	1.12	bottom	left	right	safe	good	0.4	13.99	
107	50	mix	2698.5409539001994	2698.5487956004217	2702.623663800303	2704.639115100261	4.074868199881166	0	-1.5	3	top	left	left	gamble	good	3.0	16.99	
108	120	loss	2710.034620300401	2710.040032100398	2713.517312100157	2715.533110400196	3.4772799997590482	-0.3	-1.5	0	top	left	left	gamble	bad	-1.5	15.49	
109	133	loss	2727.476860700175	2727.4777143001556	2731.7577556003816	2731.7660161000676	4.280041300226003	-0.5	-1	0	bottom	right	left	safe	bad	-0.5	14.99	
110	12	mix	2738.3357202000916	2738.343082000036	2741.3697656001896	2743.3854067004286	3.026683600153774	0	-0.5	0.33	bottom	left	left	gamble	bad	-0.5	14.49	
111	15	mix	2748.413015300408	2748.4137856001034	2752.580165600404	2754.5957643003203	4.166380000300705	0	-0.8	0.16	top	right	right	gamble	bad	-0.8	13.69	
112	89	gain	2764.6067321002483	2764.613856300246	2767.2894971002825	2769.305522000417	2.67564080003649	0.5	0	2.1	top	left	left	gamble	good	2.1	15.79	
113	54	gain	2774.5123565001413	2774.513092700392	2777.883909900207	2779.8991694003344	3.3708171998150647	0.2	0	0.44	top	right	right	gamble	good	0.44	16.23	
114	74	gain	2783.977316000033	2783.9780852003023	2786.262793400325	2786.2704419000074	2.2847082000225782	0.4	0	0.89	bottom	right	left	safe	bad	0.4	16.63	
115	121	loss	2798.889068500139	2798.895261700265	2802.5542389000766	2804.5694356001914	3.6589771998114884	-0.4	-0.67	0	bottom	left	left	gamble	good	0.0	16.63	
116	101	loss	2809.202351300046	2809.2084969002753	2813.531850400381	2813.5397940003313	4.323353500105441	-0.2	-0.34	0	bottom	left	right	safe	good	-0.2	16.43	
117	5	mix	2821.0922735002823	2821.0994907002896	2826.05853330018	2826.0662448001094	4.959042599890381	0	-0.3	0.2	top	left	right	safe	good	0.0	16.43	
118	36	mix	2839.7177962004207	2839.7217711000703	2842.050014000386	2844.0662323003635	2.328242900315672	0	-0.3	0.45	top	left	left	gamble	bad	-0.3	16.13	
119	138	loss	2848.9820367000066	2848.9827943001874	2852.4273375002667	2854.4441272001714	3.4445432000793517	-0.5	-1.8	0	bottom	right	right	gamble	good	0.0	16.13	
120	144	loss	2859.9257259001024	2859.926454000175	2863.421595700085	2863.4289194000885	3.495141699910164	-0.6	-1.33	0	bottom	right	left	safe	good	-0.6	15.53	
121	65	gain	2877.3643744001165	2877.365132700186	2881.7292955000885	2883.744288300164	4.36416279990226	0.3	0	0.74	top	right	right	gamble	bad	0.0	15.53	
122	29	mix	2888.887272500433	2888.8880030000582	2891.5072078001685	2891.51472090045	2.6192048001103103	0	-1.5	0.45	top	right	left	safe	bad	0.0	15.53	
123	68	gain	2898.929640599992	2898.930416500196	2901.7679734001867	2903.783899600152	2.8375568999908864	0.3	0	1.08	top	right	right	gamble	good	1.08	16.61	
124	147	loss	2914.3792857001536	2914.3875532001257	2919.1586025003344	2919.1625780002214	4.771049300208688	-0.6	-1.9	0	top	left	right	safe	good	-0.6	16.01	
125	100	gain	2926.086813600268	2926.0938559002243	2928.870897200424	2930.886007199995	2.777041300199926	0.6	0	3	top	left	left	gamble	good	3.0	19.01	
126	16	mix	2936.3518826002255	2936.360038800165	2939.1488373000175	2939.156586400233	2.788798499852419	0	-0.8	0.24	bottom	left	right	safe	good	0.0	19.01	
