10.5505 	EXP 	New trial (rep=0, index=24): {'imageFile': 'different/092_283_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
10.5702 	DATA 	Keypress: left
10.5777 	EXP 	faces: autoDraw = False
10.5777 	EXP 	faces: ori = 0.0
10.5777 	EXP 	faces: size = array([1.04166667, 1.16666667])
10.5777 	EXP 	faces: image = 'different/092_283_L.jpg'
10.5777 	EXP 	faces: autoDraw = True
10.8508 	EXP 	New trial (rep=0, index=25): {'imageFile': 'same/085_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
10.8707 	DATA 	Keypress: left
10.8761 	EXP 	faces: autoDraw = False
10.8761 	EXP 	faces: ori = 0.0
10.8761 	EXP 	faces: size = array([1.04166667, 1.16666667])
10.8761 	EXP 	faces: image = 'same/085_C2_DV.jpg'
10.8761 	EXP 	faces: autoDraw = True
11.1159 	DATA 	Keypress: right
11.1334 	EXP 	New trial (rep=0, index=26): {'imageFile': 'same/129_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
11.1584 	EXP 	faces: autoDraw = False
11.1584 	EXP 	faces: ori = 180.0
11.1584 	EXP 	faces: size = array([1.04166667, 1.16666667])
11.1584 	EXP 	faces: image = 'same/129_C2_DV.jpg'
11.1584 	EXP 	faces: autoDraw = True
11.2503 	EXP 	New trial (rep=0, index=27): {'imageFile': 'same/170_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
11.2750 	DATA 	Keypress: left
11.2789 	EXP 	faces: autoDraw = False
11.2789 	EXP 	faces: ori = 180.0
11.2789 	EXP 	faces: size = array([1.04166667, 1.16666667])
11.2789 	EXP 	faces: image = 'same/170_DV_C2.jpg'
11.2789 	EXP 	faces: autoDraw = True
11.5340 	EXP 	New trial (rep=0, index=28): {'imageFile': 'same/120_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
11.5560 	DATA 	Keypress: right
11.5595 	EXP 	faces: autoDraw = False
11.5595 	EXP 	faces: ori = 180.0
