TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText1.started,space_to_continue.started,welcomeText2.started,space_to_continue_2.started,Win.started,Keys.started,Mouse.started,Keys.keys,Keys.rt,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Win_2.stopped,WinMsg.stopped,exitText.started,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.6,-1.9,0.0,bottom,left,1.39,0,0,15,15,34,,,,,,,,,,,,,,,,,114.93008170899702,114.93008170899702,0.01226216700160876,right,1.0881373329903,-0.16435185185185186,-0.20601851851851852,0,0,0,116.05383041701862,116.05383041701862,118.05899920899537,118.05899920899537,120.05575404199772,121.46295991700026,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
gain,0.2,0.0,0.34,top,left,1.94,0,0,16,16,19,,,,,,,,,,,,,,,,,121.46295991700026,121.46295991700026,0.011935791000723839,right,0.39991075001307763,-0.16435185185185186,-0.20601851851851852,0,0,0,121.88760033401195,121.88760033401195,123.90072016700287,123.90072016700287,125.88909845901071,127.84360212500906,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
gain,0.2,0.0,0.63,top,left,1.45,0,0,17,17,25,,,,,,,,,,,,,,,,,127.84360212500906,127.84360212500906,0.007729750010184944,left,0.47113624998019077,-0.16435185185185186,-0.20601851851851852,0,0,0,128.36419237501104,128.36419237501104,130.3539893339912,130.3539893339912,133.69760387501447,135.15284870899632,132.37235162500292,132.37235162500292,132.37235162500292,133.4865568340174,133.4865568340174,4.020833333333333,1.1159677079995163,space,0.17607562500052154,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.5,0.5,top,left,1.03,0,0,18,18,13,,,,,,,,,,,,,,,,,135.15284870899632,135.15284870899632,0.009241541003575549,left,0.2886011659866199,-0.16435185185185186,-0.20601851851851852,0,0,0,135.46760208401247,135.46760208401247,137.473715250002,137.473715250002,139.47233962500468,140.50983125000494,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.3,0.3,top,left,1.66,0,0,19,19,6,,,,,,,,,,,,,,,,,140.50983125000494,140.50983125000494,0.009618791984394193,left,0.4187798750062939,-0.16435185185185186,-0.20601851851851852,0,0,0,140.95186683401698,140.95186683401698,142.9562512919947,142.9562512919947,144.944112666999,146.61130887499894,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.3,0.09,top,right,1.24,0,0,20,20,1,,,,,,,,,,,,,,,,,146.61130887499894,146.61130887499894,0.007887207990279421,left,0.371367082989309,-0.16435185185185186,-0.20601851851851852,0,0,0,147.0074929590046,147.0074929590046,149.01041962500312,149.01041962500312,152.16398987499997,153.40960420900956,151.0222947089933,151.0222947089933,151.0222947089933,151.96401054199669,151.96401054199669,4.020833333333333,0.9329637080081739,space,0.16947245900519192,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.3,0.06,top,left,1.15,0,0,21,21,0,,,,,,,,,,,,,,,,,153.40960420900956,153.40960420900956,0.005743000016082078,right,0.6034891669987701,-0.16435185185185186,-0.20601851851851852,0,0,0,154.0474459590041,154.0474459590041,156.05566062501748,156.05566062501748,158.0387959590007,159.19391025000368,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-1.68,0.0,bottom,left,1.1,0,0,22,22,33,,,,,,,,,,,,,,,,,159.19391025000368,159.19391025000368,0.009166042000288144,right,0.34763787500560284,-0.16435185185185186,-0.20601851851851852,0,0,0,159.57020829201792,159.57020829201792,161.5742663340061,161.5742663340061,163.58064491700497,164.6875735000067,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.8,0.42,top,right,1.95,0,0,23,23,17,,,,,,,,,,,,,,,,,164.6875735000067,164.6875735000067,0.011565916007384658,right,0.33072850000462495,-0.16435185185185186,-0.20601851851851852,0,0,0,165.04301537500578,165.04301537500578,167.04966295900522,167.04966295900522,170.18910491699353,172.1464168340026,169.05546820900054,169.05546820900054,169.05546820900054,169.99729416699847,169.99729416699847,4.020833333333333,0.9325989580247551,space,0.16155554199940525,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.3,0.16,top,right,1.01,0,0,24,24,3,,,,,,,,,,,,,,,,,172.1464168340026,172.1464168340026,0.010264708020258695,left,0.735436666989699,-0.16435185185185186,-0.20601851851851852,0,0,0,172.91112879200955,172.91112879200955,174.92265016702004,174.92265016702004,176.90541591701913,177.93011758400826,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
